Timestamp,Did you take AP or IB classes in high school?,Which did you take?,Number of AP or IB classes taken,GPA in High School (Non-Weighted),What university/college are you attending?,What year are you?,GPA in College
11/7/2019 16:33:04,Yes,AP,9,3.84,UCSD,Year 3 (Junior),3.53
11/7/2019 16:39:56,Yes,AP,5,3.9,UCSD,Year 3 (Junior),3.87
11/7/2019 16:45:36,Yes,AP,7,3.87,UCSD,Year 3 (Junior),3.48
11/7/2019 16:52:05,Yes,AP,6,3.83,UC Berkeley,Year 3 (Junior),3.01
11/7/2019 17:02:08,Yes,AP,5,3.5,PCC,Year 3 (Junior),3
11/7/2019 17:35:25,Yes,AP,5,3.64,SDMC,Year 2 (Sophomore),3.95
11/7/2019 18:15:58,Yes,AP,4,3.7,UCR,Year 3 (Junior),3.2
11/7/2019 20:06:00,Yes,AP,2,2.7,UCSD,Year 3 (Junior),3.4
11/7/2019 22:39:51,Yes,AP,7,4.5,UCSD,Year 4 (Senior),3.7
11/7/2019 23:21:23,Yes,AP,6,3.9,UC Berkeley,Year 4 (Senior),3.6
11/7/2019 23:32:37,Yes,AP,12,4.25,UC Berkeley,Year 4 (Senior),3.53
11/7/2019 23:32:51,Yes,AP,10,3.9,UC Berkeley,Year 1 (Freshman),3.2
11/8/2019 7:44:10,Yes,AP,1,4,UC Berkeley,Year 5 or more,4
11/8/2019 16:33:50,Yes,AP,8,4,UTexas (Austin),Year 5 or more,2.9
11/8/2019 23:29:12,Yes,AP,8,4.33,UCSD,Year 3 (Junior),3.35
11/11/2019 14:00:40,Yes,AP,5,3.5,UCSC ,Year 3 (Junior),2.3
11/12/2019 17:08:35,Yes,AP,10,3.6,UCSD,Year 2 (Sophomore),3.1
11/12/2019 18:01:06,Yes,AP,13,3.87,UCSD,Year 1 (Freshman),4
11/12/2019 18:19:42,Yes,AP,2,2.9,CSUDH,Year 1 (Freshman),2.5
11/12/2019 18:31:28,Yes,AP,6,3.4,SWC,Year 1 (Freshman),3
11/12/2019 18:51:22,Yes,AP,5,3,CSUDH,Year 1 (Freshman),4
11/12/2019 18:56:25,Yes,AP,6,3.83,Holy Cross,Year 1 (Freshman),3.55
11/12/2019 18:56:56,Yes,AP,8,4,UC Berkeley,Year 1 (Freshman),3
11/12/2019 19:17:57,Yes,AP,8,3.8,UCSD,Year 1 (Freshman),4
11/12/2019 19:37:26,Yes,AP,6,3,SDSU,Year 1 (Freshman),2
11/12/2019 19:55:04,Yes,AP,13,3.8,UCSD,Year 1 (Freshman),0
11/12/2019 20:21:21,Yes,AP,4,3.2,SDSU,Year 1 (Freshman),2
11/12/2019 20:26:07,Yes,AP,5,3.7,SDSU,Year 1 (Freshman),3.2
11/12/2019 21:11:57,Yes,AP,7,4,SDMC,Year 2 (Sophomore),4
